Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km,VIS,MIN,ÎÂ¶È²î
370,2018-08-02 06:00:06,11,28.600,80.800,1001.200,-2.89,0,4.878,0.159,5.916,28.600,28.203,27.837,27.446,27.094,26.779,26.487,26.186,25.850,25.602,25.244,24.750,24.194,23.732,23.265,22.782,22.220,21.663,21.098,20.646,20.131,19.588,18.993,18.402,17.890,17.157,16.052,14.737,13.507,12.344,11.119,9.898,8.598,7.238,5.902,4.463,3.080,1.749,0.484,-0.851,-2.074,-3.303,-4.659,-6.127,-7.558,-8.968,-10.105,-11.292,-12.471,-13.762,-15.173,-16.671,-18.090,-19.467,-20.946,-22.527,-24.199,-25.910,10000,10000,-4.813000000000001
374,2018-08-02 06:03:59,11,28.600,80.500,1001.200,23.82,0,4.927,0.203,0.816,28.600,28.242,27.885,27.513,27.177,26.867,26.571,26.274,25.957,25.718,25.382,24.904,24.366,23.894,23.435,22.963,22.432,21.878,21.320,20.857,20.330,19.794,19.194,18.594,18.063,17.313,16.162,14.805,13.582,12.390,11.133,9.856,8.538,7.171,5.850,4.411,3.032,1.703,0.442,-0.872,-2.058,-3.245,-4.581,-6.036,-7.463,-8.850,-9.974,-11.168,-12.358,-13.650,-15.049,-16.529,-17.958,-19.379,-20.915,-22.498,-24.156,-25.906,10000,10000,-4.922999999999998
378,2018-08-02 06:07:52,11,28.600,81.000,1001.300,-2.71,0,4.872,0.159,5.954,28.600,28.242,27.890,27.511,27.168,26.859,26.570,26.278,25.957,25.721,25.387,24.919,24.396,23.959,23.524,23.078,22.560,22.035,21.501,21.072,20.579,20.052,19.476,18.895,18.392,17.664,16.560,15.236,13.986,12.793,11.537,10.294,8.973,7.601,6.251,4.801,3.410,2.078,0.808,-0.518,-1.724,-2.934,-4.289,-5.738,-7.163,-8.555,-9.684,-10.858,-12.032,-13.322,-14.742,-16.248,-17.670,-19.067,-20.583,-22.186,-23.873,-25.620,10000,10000,-4.871000000000002
382,2018-08-02 06:11:45,11,28.600,81.200,1001.300,25.71,0,5.036,0.213,0.580,28.600,28.385,28.108,27.786,27.495,27.238,26.978,26.726,26.456,26.278,26.009,25.635,25.192,24.807,24.446,24.066,23.625,23.164,22.712,22.316,21.829,21.314,20.754,20.195,19.677,18.907,17.723,16.338,15.038,13.723,12.302,10.932,9.544,8.117,6.715,5.205,3.753,2.386,1.137,-0.157,-1.331,-2.542,-3.899,-5.386,-6.823,-8.223,-9.319,-10.552,-11.785,-13.106,-14.564,-16.106,-17.611,-19.104,-20.787,-22.457,-24.198,-26.031,10000,10000,-5.183999999999999
386,2018-08-02 06:15:38,11,28.500,81.100,1001.300,25.15,0,5.023,0.165,0.743,28.500,28.329,28.069,27.753,27.484,27.236,26.996,26.752,26.509,26.338,26.089,25.728,25.306,24.942,24.598,24.229,23.789,23.348,22.906,22.505,22.026,21.513,20.959,20.394,19.876,19.096,17.913,16.523,15.186,13.853,12.430,11.062,9.639,8.196,6.785,5.284,3.829,2.464,1.204,-0.103,-1.305,-2.533,-3.889,-5.366,-6.816,-8.221,-9.330,-10.568,-11.816,-13.118,-14.564,-16.134,-17.669,-19.179,-20.861,-22.538,-24.269,-26.122,10000,10000,-5.243
390,2018-08-02 06:19:31,11,28.700,80.500,1001.400,25.5,0,4.997,0.158,0.493,28.700,28.317,27.975,27.596,27.228,26.931,26.639,26.357,26.008,25.790,25.451,25.027,24.526,24.134,23.728,23.329,22.847,22.375,21.906,21.549,21.102,20.594,20.049,19.521,19.048,18.349,17.291,16.027,14.763,13.556,12.243,10.999,9.679,8.310,6.923,5.420,3.972,2.620,1.384,0.060,-1.139,-2.375,-3.754,-5.224,-6.617,-8.007,-9.110,-10.268,-11.434,-12.733,-14.208,-15.730,-17.162,-18.515,-20.065,-21.715,-23.494,-25.201,10000,10000,-4.793000000000001
394,2018-08-02 06:23:24,11,28.800,80.700,1001.400,18,0,4.965,0.146,1.912,28.800,28.482,28.151,27.791,27.465,27.168,26.889,26.601,26.290,26.053,25.712,25.237,24.693,24.215,23.742,23.239,22.664,22.081,21.496,21.001,20.443,19.882,19.260,18.643,18.094,17.313,16.123,14.724,13.478,12.263,10.986,9.689,8.354,6.957,5.614,4.164,2.774,1.423,0.147,-1.186,-2.415,-3.647,-5.001,-6.498,-7.966,-9.400,-10.544,-11.776,-12.993,-14.305,-15.714,-17.220,-18.671,-20.109,-21.632,-23.214,-24.860,-26.607,10000,10000,-5.049999999999999
398,2018-08-02 06:27:17,11,28.900,79.700,1001.300,-2.71,0,4.894,0.148,5.982,28.900,28.730,28.483,28.178,27.899,27.662,27.426,27.187,26.931,26.756,26.489,26.136,25.705,25.330,24.961,24.564,24.086,23.621,23.165,22.740,22.231,21.699,21.124,20.554,20.021,19.216,17.989,16.575,15.228,13.871,12.407,11.001,9.564,8.096,6.672,5.150,3.662,2.265,1.012,-0.300,-1.529,-2.801,-4.173,-5.689,-7.157,-8.590,-9.698,-10.966,-12.242,-13.555,-15.022,-16.598,-18.155,-19.662,-21.357,-23.045,-24.795,-26.615,10000,10000,-5.345000000000001
402,2018-08-02 06:31:10,11,28.900,79.100,1001.300,-3.63,0,4.881,0.144,6.066,28.900,28.559,28.223,27.853,27.511,27.212,26.934,26.647,26.327,26.087,25.744,25.287,24.761,24.317,23.861,23.383,22.820,22.274,21.727,21.266,20.745,20.193,19.600,19.012,18.496,17.734,16.592,15.244,13.971,12.751,11.466,10.201,8.859,7.465,6.093,4.628,3.214,1.859,0.584,-0.759,-2.010,-3.269,-4.630,-6.102,-7.553,-8.979,-10.120,-11.324,-12.530,-13.828,-15.258,-16.776,-18.225,-19.635,-21.164,-22.776,-24.469,-26.202,10000,10000,-4.983000000000002
406,2018-08-02 06:35:03,11,28.800,79.100,1001.300,-2.82,0,4.892,0.145,5.862,28.800,28.495,28.174,27.819,27.497,27.208,26.939,26.658,26.358,26.126,25.795,25.343,24.822,24.372,23.919,23.434,22.867,22.312,21.761,21.280,20.736,20.176,19.568,18.964,18.428,17.642,16.456,15.075,13.801,12.563,11.258,9.960,8.602,7.192,5.831,4.373,2.959,1.597,0.320,-1.009,-2.257,-3.517,-4.876,-6.360,-7.829,-9.261,-10.402,-11.634,-12.864,-14.164,-15.587,-17.111,-18.584,-20.024,-21.574,-23.183,-24.856,-26.606,10000,10000,-5.078999999999999
410,2018-08-02 06:38:56,11,28.900,78.500,1001.400,-3.6,0,4.869,0.145,6.052,28.900,28.620,28.313,27.969,27.649,27.368,27.103,26.830,26.535,26.309,25.990,25.563,25.064,24.631,24.198,23.734,23.189,22.653,22.127,21.663,21.131,20.578,19.982,19.392,18.864,18.076,16.887,15.498,14.207,12.937,11.593,10.269,8.899,7.474,6.087,4.608,3.178,1.803,0.524,-0.803,-2.050,-3.316,-4.680,-6.167,-7.633,-9.068,-10.204,-11.440,-12.677,-13.992,-15.434,-16.967,-18.447,-19.905,-21.498,-23.137,-24.837,-26.608,10000,10000,-5.139000000000001
414,2018-08-02 06:42:49,11,29.000,77.700,1001.300,-3.49,0,4.876,0.151,6.071,29.000,28.621,28.268,27.886,27.521,27.208,26.918,26.624,26.285,26.029,25.673,25.210,24.678,24.233,23.775,23.301,22.741,22.195,21.655,21.212,20.705,20.157,19.575,19.003,18.508,17.762,16.651,15.331,14.069,12.860,11.588,10.347,9.025,7.640,6.258,4.787,3.377,2.023,0.745,-0.596,-1.845,-3.101,-4.463,-5.917,-7.354,-8.768,-9.904,-11.082,-12.270,-13.573,-15.015,-16.518,-17.938,-19.329,-20.860,-22.484,-24.197,-25.919,20000,10000,-4.902000000000001
418,2018-08-02 06:46:42,11,29.100,78.000,1001.400,-4.04,0,4.900,0.132,6.142,29.100,28.775,28.443,28.077,27.734,27.433,27.157,26.871,26.553,26.307,25.967,25.515,24.993,24.546,24.083,23.599,23.030,22.475,21.923,21.451,20.923,20.366,19.771,19.178,18.657,17.883,16.730,15.365,14.080,12.844,11.551,10.271,8.915,7.511,6.132,4.663,3.246,1.887,0.600,-0.749,-2.010,-3.269,-4.628,-6.087,-7.545,-8.967,-10.115,-11.313,-12.524,-13.820,-15.248,-16.763,-18.214,-19.637,-21.171,-22.784,-24.470,-26.213,20000,10000,-5.039
422,2018-08-02 06:50:35,11,29.100,77.100,1001.400,-2.01,0,4.929,0.134,5.830,29.100,28.767,28.441,28.076,27.724,27.430,27.154,26.874,26.550,26.313,25.979,25.559,25.063,24.647,24.215,23.769,23.234,22.722,22.221,21.797,21.303,20.760,20.192,19.637,19.144,18.387,17.263,15.936,14.639,13.383,12.047,10.766,9.409,8.005,6.594,5.094,3.647,2.276,1.003,-0.342,-1.600,-2.876,-4.244,-5.704,-7.140,-8.561,-9.692,-10.885,-12.095,-13.402,-14.864,-16.390,-17.847,-19.261,-20.842,-22.501,-24.251,-25.993,20000,10000,-5.004000000000001
426,2018-08-02 06:54:28,11,29.400,77.000,1001.400,22.81,0,4.905,0.149,0.880,29.400,28.797,28.339,27.874,27.401,27.016,26.669,26.317,25.855,25.514,25.037,24.457,23.799,23.278,22.693,22.135,21.470,20.833,20.188,19.746,19.251,18.695,18.100,17.538,17.086,16.429,15.464,14.270,13.103,12.067,10.982,9.898,8.693,7.398,6.072,4.634,3.267,1.946,0.670,-0.719,-1.985,-3.236,-4.613,-6.035,-7.415,-8.805,-9.965,-11.048,-12.141,-13.424,-14.853,-16.284,-17.579,-18.799,-20.118,-21.662,-23.370,-24.936,20000,10000,-4.361999999999998
430,2018-08-02 06:58:21,11,29.200,76.700,1001.300,0.46,0,4.890,0.145,5.332,29.200,28.911,28.605,28.255,27.921,27.642,27.379,27.109,26.804,26.577,26.255,25.850,25.365,24.951,24.520,24.070,23.527,23.013,22.510,22.066,21.552,21.001,20.423,19.855,19.341,18.556,17.393,16.032,14.712,13.426,12.058,10.742,9.354,7.927,6.512,5.010,3.549,2.171,0.901,-0.448,-1.720,-3.006,-4.373,-5.847,-7.300,-8.726,-9.856,-11.071,-12.309,-13.607,-15.060,-16.598,-18.088,-19.528,-21.126,-22.785,-24.524,-26.275,20000,10000,-5.130000000000001
434,2018-08-02 07:02:14,11,29.100,77.900,1001.600,0.9,0,4.924,0.138,5.245,29.100,28.766,28.437,28.072,27.716,27.420,27.137,26.855,26.523,26.285,25.944,25.515,25.007,24.580,24.137,23.682,23.145,22.617,22.101,21.670,21.167,20.623,20.049,19.487,18.985,18.229,17.097,15.758,14.478,13.231,11.899,10.608,9.260,7.859,6.460,4.963,3.523,2.150,0.876,-0.466,-1.709,-2.973,-4.345,-5.818,-7.258,-8.679,-9.810,-11.006,-12.214,-13.530,-14.992,-16.510,-17.962,-19.378,-20.950,-22.597,-24.340,-26.076,20000,10000,-4.997999999999999
438,2018-08-02 07:06:07,11,28.900,79.300,1001.600,5.3,0,4.901,0.160,4.353,28.900,28.439,28.041,27.629,27.233,26.892,26.574,26.253,25.873,25.593,25.196,24.675,24.087,23.598,23.084,22.570,21.977,21.385,20.790,20.335,19.821,19.274,18.677,18.094,17.596,16.885,15.814,14.527,13.325,12.205,11.023,9.827,8.550,7.214,5.890,4.452,3.072,1.740,0.467,-0.885,-2.116,-3.344,-4.704,-6.153,-7.569,-8.971,-10.120,-11.273,-12.424,-13.716,-15.134,-16.607,-17.987,-19.319,-20.754,-22.326,-24.011,-25.669,20000,10000,-4.6800000000000015
442,2018-08-02 07:10:00,11,28.800,78.900,1001.700,-2.86,0,4.950,0.144,5.790,28.800,28.345,27.954,27.552,27.162,26.834,26.519,26.200,25.821,25.543,25.133,24.607,24.001,23.489,22.956,22.408,21.779,21.156,20.542,20.051,19.497,18.931,18.311,17.714,17.188,16.449,15.330,14.019,12.838,11.713,10.513,9.291,8.022,6.677,5.361,3.925,2.541,1.193,-0.076,-1.421,-2.660,-3.913,-5.281,-6.777,-8.217,-9.650,-10.797,-11.999,-13.192,-14.505,-15.924,-17.397,-18.807,-20.165,-21.619,-23.189,-24.867,-26.510,20000,10000,-4.736000000000002
446,2018-08-02 07:13:53,11,28.900,78.900,1001.700,-3.14,0,4.901,0.144,6.108,28.900,28.555,28.218,27.841,27.482,27.177,26.891,26.607,26.274,26.041,25.711,25.284,24.793,24.396,23.982,23.563,23.064,22.574,22.086,21.694,21.236,20.714,20.170,19.627,19.154,18.432,17.359,16.060,14.771,13.541,12.235,10.983,9.637,8.253,6.847,5.354,3.918,2.562,1.280,-0.063,-1.299,-2.548,-3.920,-5.360,-6.783,-8.184,-9.317,-10.473,-11.648,-12.953,-14.421,-15.950,-17.384,-18.777,-20.332,-21.988,-23.747,-25.494,20000,10000,-4.890999999999998
450,2018-08-02 07:17:46,11,29.000,78.100,1001.500,-3.58,0,4.860,0.145,6.008,29.000,28.784,28.504,28.180,27.885,27.622,27.372,27.109,26.839,26.626,26.328,25.923,25.443,25.008,24.575,24.104,23.553,23.012,22.484,21.996,21.439,20.874,20.263,19.659,19.105,18.279,17.032,15.592,14.278,12.962,11.569,10.186,8.774,7.324,5.931,4.443,2.998,1.611,0.327,-1.006,-2.264,-3.539,-4.896,-6.398,-7.887,-9.340,-10.482,-11.756,-13.031,-14.351,-15.785,-17.329,-18.854,-20.360,-21.991,-23.631,-25.316,-27.113,20000,10000,-5.317
454,2018-08-02 07:21:39,11,29.100,77.000,1001.700,-2.9,0,4.927,0.140,5.887,29.100,28.820,28.515,28.173,27.844,27.560,27.289,27.014,26.710,26.478,26.151,25.728,25.226,24.783,24.333,23.850,23.287,22.735,22.202,21.725,21.180,20.618,20.018,19.430,18.895,18.093,16.887,15.488,14.195,12.916,11.558,10.216,8.834,7.405,6.008,4.515,3.071,1.685,0.399,-0.938,-2.199,-3.479,-4.843,-6.336,-7.813,-9.262,-10.404,-11.645,-12.895,-14.220,-15.672,-17.201,-18.689,-20.156,-21.763,-23.408,-25.115,-26.872,20000,10000,-5.177
458,2018-08-02 07:25:32,11,29.100,77.000,1001.700,-3.02,0,4.955,0.141,5.959,29.100,28.619,28.216,27.797,27.380,27.031,26.709,26.387,25.990,25.694,25.284,24.771,24.184,23.704,23.192,22.681,22.080,21.491,20.910,20.470,19.972,19.422,18.840,18.276,17.802,17.098,16.056,14.793,13.582,12.452,11.263,10.084,8.815,7.474,6.119,4.663,3.273,1.928,0.639,-0.719,-1.972,-3.224,-4.598,-6.034,-7.449,-8.853,-10.006,-11.142,-12.289,-13.594,-15.038,-16.511,-17.874,-19.197,-20.640,-22.235,-23.952,-25.609,20000,10000,-4.645999999999999
462,2018-08-02 07:29:25,11,29.000,76.000,1001.700,-3.29,0,4.926,0.149,5.858,29.000,28.627,28.269,27.890,27.531,27.212,26.920,26.617,26.281,26.008,25.633,25.143,24.574,24.077,23.566,23.020,22.387,21.770,21.172,20.655,20.084,19.501,18.879,18.272,17.733,16.943,15.774,14.409,13.169,11.973,10.726,9.458,8.131,6.746,5.389,3.939,2.546,1.186,-0.112,-1.465,-2.741,-4.015,-5.373,-6.848,-8.324,-9.767,-10.931,-12.152,-13.380,-14.693,-16.110,-17.604,-19.049,-20.475,-21.986,-23.577,-25.232,-26.938,20000,10000,-4.970000000000001
466,2018-08-02 07:33:18,11,29.100,76.900,1001.800,-0.17,0,4.949,0.160,5.407,29.100,28.770,28.438,28.077,27.723,27.417,27.129,26.842,26.515,26.268,25.927,25.490,24.977,24.532,24.078,23.607,23.058,22.511,21.982,21.532,21.014,20.467,19.882,19.310,18.799,18.035,16.883,15.525,14.250,13.007,11.692,10.388,9.033,7.630,6.242,4.755,3.326,1.953,0.667,-0.666,-1.909,-3.165,-4.526,-5.984,-7.433,-8.853,-9.994,-11.191,-12.400,-13.716,-15.171,-16.682,-18.125,-19.554,-21.134,-22.778,-24.496,-26.238,20000,10000,-5.0280000000000005
470,2018-08-02 07:37:11,11,29.600,76.000,1001.900,24.81,0,5.006,0.142,0.674,29.600,29.132,28.738,28.331,27.904,27.559,27.231,26.909,26.497,26.192,25.765,25.254,24.656,24.148,23.599,23.052,22.420,21.787,21.172,20.701,20.163,19.595,18.985,18.413,17.918,17.190,16.090,14.780,13.579,12.431,11.209,9.977,8.702,7.344,5.986,4.513,3.108,1.742,0.453,-0.912,-2.169,-3.431,-4.805,-6.269,-7.688,-9.111,-10.264,-11.422,-12.583,-13.910,-15.364,-16.815,-18.184,-19.519,-20.984,-22.582,-24.309,-25.937,20000,10000,-4.759000000000002
474,2018-08-02 07:41:04,11,29.500,75.800,1001.800,-1.84,0,4.928,0.142,5.753,29.500,29.097,28.734,28.346,27.949,27.623,27.318,27.014,26.642,26.362,25.980,25.514,24.968,24.504,24.005,23.505,22.916,22.339,21.779,21.330,20.816,20.258,19.670,19.106,18.616,17.875,16.769,15.448,14.192,12.992,11.720,10.462,9.140,7.758,6.374,4.886,3.459,2.086,0.796,-0.562,-1.827,-3.098,-4.470,-5.911,-7.336,-8.751,-9.904,-11.066,-12.241,-13.552,-15.013,-16.501,-17.901,-19.268,-20.779,-22.407,-24.144,-25.827,20000,10000,-4.882999999999999
478,2018-08-02 07:44:57,11,29.400,75.100,1001.800,-2.56,0,4.905,0.148,5.966,29.400,29.067,28.741,28.381,28.010,27.711,27.424,27.145,26.805,26.559,26.217,25.812,25.324,24.911,24.477,24.035,23.506,22.992,22.503,22.087,21.598,21.058,20.501,19.962,19.476,18.720,17.595,16.266,14.965,13.691,12.331,11.024,9.658,8.243,6.811,5.291,3.825,2.437,1.153,-0.192,-1.451,-2.732,-4.108,-5.562,-6.996,-8.411,-9.539,-10.720,-11.930,-13.253,-14.740,-16.260,-17.711,-19.131,-20.747,-22.435,-24.221,-25.954,20000,10000,-5.028999999999998
482,2018-08-02 07:48:50,11,29.300,73.800,1001.700,-2.93,0,4.943,0.138,5.943,29.300,29.007,28.690,28.337,27.992,27.696,27.422,27.145,26.837,26.588,26.259,25.849,25.358,24.925,24.482,24.012,23.453,22.914,22.404,21.943,21.416,20.854,20.278,19.711,19.200,18.403,17.237,15.867,14.555,13.258,11.899,10.575,9.192,7.764,6.333,4.831,3.387,2.000,0.696,-0.652,-1.934,-3.225,-4.587,-6.037,-7.505,-8.935,-10.081,-11.295,-12.539,-13.859,-15.316,-16.840,-18.315,-19.788,-21.407,-23.077,-24.804,-26.573,20000,10000,-5.145
486,2018-08-02 07:52:43,11,29.400,74.200,1001.600,-3.3,0,4.910,0.147,6.034,29.400,29.040,28.699,28.327,27.952,27.643,27.355,27.066,26.721,26.456,26.096,25.661,25.142,24.701,24.238,23.759,23.187,22.635,22.109,21.663,21.148,20.589,20.011,19.454,18.958,18.189,17.058,15.725,14.444,13.192,11.867,10.583,9.240,7.833,6.414,4.913,3.473,2.092,0.796,-0.554,-1.828,-3.111,-4.486,-5.938,-7.384,-8.804,-9.944,-11.130,-12.344,-13.669,-15.135,-16.640,-18.077,-19.496,-21.072,-22.728,-24.476,-26.203,20000,10000,-4.997
490,2018-08-02 07:56:36,11,29.700,74.600,1001.700,-2.53,0,4.948,0.140,5.803,29.700,29.255,28.870,28.468,28.052,27.712,27.399,27.081,26.686,26.379,25.961,25.459,24.867,24.360,23.809,23.254,22.602,21.966,21.348,20.859,20.308,19.726,19.109,18.528,18.025,17.274,16.159,14.836,13.610,12.443,11.214,9.979,8.684,7.312,5.944,4.471,3.065,1.698,0.403,-0.974,-2.260,-3.540,-4.911,-6.362,-7.796,-9.221,-10.384,-11.550,-12.726,-14.039,-15.480,-16.942,-18.326,-19.676,-21.136,-22.729,-24.437,-26.078,20000,10000,-4.831000000000001
494,2018-08-02 08:00:29,11,29.500,74.300,1001.700,-2.42,0,4.993,0.146,5.849,29.500,28.944,28.508,28.059,27.595,27.222,26.884,26.542,26.101,25.765,25.311,24.775,24.156,23.656,23.093,22.550,21.900,21.286,20.681,20.242,19.751,19.191,18.613,18.066,17.617,16.934,15.950,14.743,13.537,12.446,11.305,10.181,8.936,7.618,6.257,4.798,3.406,2.064,0.773,-0.621,-1.913,-3.193,-4.567,-5.973,-7.365,-8.764,-9.930,-11.026,-12.148,-13.440,-14.884,-16.334,-17.660,-18.922,-20.303,-21.891,-23.628,-25.220,20000,10000,-4.488000000000001
498,2018-08-02 08:04:22,11,29.600,74.300,1001.800,-2.05,0,4.998,0.149,5.706,29.600,29.320,29.012,28.670,28.327,28.036,27.764,27.486,27.173,26.918,26.579,26.158,25.650,25.186,24.705,24.197,23.600,23.016,22.457,21.957,21.387,20.808,20.191,19.596,19.055,18.236,17.006,15.580,14.280,12.984,11.618,10.249,8.852,7.407,6.006,4.507,3.062,1.664,0.365,-0.989,-2.277,-3.569,-4.928,-6.404,-7.880,-9.325,-10.481,-11.722,-12.976,-14.298,-15.742,-17.255,-18.738,-20.210,-21.810,-23.455,-25.157,-26.895,20000,10000,-5.252000000000001
502,2018-08-02 08:08:15,11,29.500,73.000,1001.800,0.78,0,4.989,0.138,5.174,29.500,29.117,28.761,28.383,27.995,27.672,27.372,27.072,26.713,26.428,26.044,25.582,25.032,24.553,24.049,23.525,22.906,22.306,21.740,21.256,20.707,20.129,19.529,18.956,18.447,17.668,16.519,15.174,13.916,12.687,11.396,10.116,8.783,7.380,5.981,4.493,3.070,1.685,0.383,-0.971,-2.260,-3.556,-4.925,-6.380,-7.840,-9.272,-10.425,-11.619,-12.834,-14.157,-15.614,-17.102,-18.527,-19.939,-21.486,-23.125,-24.844,-26.533,20000,10000,-4.981
506,2018-08-02 08:12:08,11,29.700,72.900,1001.800,-2.42,0,5.078,0.128,5.922,29.700,29.287,28.924,28.536,28.126,27.795,27.487,27.187,26.810,26.521,26.137,25.695,25.167,24.724,24.245,23.763,23.186,22.633,22.108,21.682,21.190,20.638,20.075,19.540,19.074,18.336,17.253,15.958,14.678,13.452,12.158,10.908,9.581,8.188,6.757,5.243,3.799,2.414,1.115,-0.246,-1.528,-2.823,-4.198,-5.621,-7.040,-8.454,-9.600,-10.744,-11.919,-13.241,-14.729,-16.219,-17.611,-18.983,-20.538,-22.211,-23.988,-25.680,30000,10000,-4.883999999999999
510,2018-08-02 08:16:01,11,29.500,72.700,1001.800,-2.63,0,5.042,0.140,5.803,29.500,29.148,28.803,28.432,28.062,27.742,27.453,27.157,26.819,26.536,26.167,25.712,25.175,24.700,24.204,23.677,23.055,22.454,21.885,21.387,20.831,20.246,19.641,19.057,18.543,17.746,16.575,15.205,13.929,12.681,11.383,10.088,8.734,7.319,5.912,4.431,3.012,1.627,0.308,-1.051,-2.352,-3.652,-5.014,-6.462,-7.934,-9.373,-10.538,-11.745,-12.973,-14.297,-15.744,-17.241,-18.682,-20.123,-21.682,-23.320,-25.022,-26.738,20000,10000,-5.0649999999999995
514,2018-08-02 08:19:54,11,29.900,71.600,1001.900,22.2,0,5.066,0.147,1.363,29.900,29.524,29.177,28.802,28.401,28.081,27.783,27.491,27.123,26.839,26.464,26.043,25.529,25.089,24.611,24.129,23.548,22.994,22.475,22.040,21.533,20.972,20.405,19.868,19.390,18.628,17.514,16.194,14.899,13.636,12.296,11.003,9.651,8.238,6.795,5.269,3.807,2.406,1.101,-0.263,-1.557,-2.864,-4.243,-5.671,-7.099,-8.514,-9.662,-10.824,-12.026,-13.353,-14.843,-16.338,-17.759,-19.161,-20.745,-22.429,-24.217,-25.916,20000,10000,-4.992000000000001
518,2018-08-02 08:23:47,11,29.900,72.800,1001.900,13.54,0,5.017,0.151,2.695,29.900,29.344,28.907,28.465,27.992,27.612,27.263,26.915,26.458,26.104,25.627,25.077,24.433,23.892,23.288,22.699,22.008,21.334,20.684,20.208,19.672,19.090,18.479,17.919,17.449,16.743,15.706,14.455,13.283,12.192,11.044,9.879,8.641,7.314,5.962,4.497,3.112,1.754,0.454,-0.938,-2.225,-3.500,-4.875,-6.296,-7.694,-9.102,-10.275,-11.388,-12.518,-13.835,-15.281,-16.701,-18.019,-19.298,-20.690,-22.268,-23.994,-25.566,30000,10000,-4.550999999999998
522,2018-08-02 08:27:40,11,29.800,72.500,1001.900,24.82,0,5.115,0.142,0.828,29.800,29.429,29.079,28.706,28.313,27.987,27.686,27.391,27.032,26.746,26.374,25.935,25.412,24.957,24.472,23.976,23.390,22.817,22.276,21.823,21.303,20.738,20.156,19.602,19.114,18.347,17.215,15.873,14.589,13.338,12.024,10.732,9.382,7.972,6.546,5.035,3.595,2.203,0.891,-0.464,-1.744,-3.032,-4.402,-5.827,-7.267,-8.684,-9.839,-11.004,-12.199,-13.525,-15.003,-16.492,-17.903,-19.315,-20.889,-22.551,-24.299,-26.015,20000,10000,-5.009000000000002
526,2018-08-02 08:31:33,11,29.600,74.500,1001.900,-1.22,0,5.030,0.147,5.237,29.600,29.068,28.632,28.207,27.771,27.401,27.061,26.708,26.273,25.916,25.411,24.788,24.063,23.421,22.726,22.002,21.173,20.357,19.563,18.937,18.255,17.611,16.888,16.232,15.658,14.877,13.690,12.335,11.233,10.195,9.110,7.910,6.689,5.357,4.088,2.682,1.349,0.007,-1.289,-2.678,-3.976,-5.255,-6.614,-8.135,-9.600,-11.066,-12.258,-13.478,-14.675,-15.993,-17.368,-18.769,-20.144,-21.477,-22.828,-24.312,-25.898,-27.432,20000,10000,-4.682
530,2018-08-02 08:35:26,11,29.700,74.100,1002.000,10.67,0,5.048,0.142,3.527,29.700,29.334,28.995,28.625,28.233,27.921,27.624,27.334,26.968,26.698,26.327,25.899,25.382,24.941,24.465,23.984,23.411,22.854,22.325,21.890,21.380,20.824,20.246,19.700,19.214,18.457,17.328,15.992,14.711,13.458,12.117,10.813,9.465,8.054,6.630,5.109,3.648,2.248,0.953,-0.404,-1.680,-2.976,-4.360,-5.819,-7.251,-8.679,-9.824,-11.004,-12.206,-13.541,-15.034,-16.536,-17.965,-19.363,-20.942,-22.615,-24.398,-26.098,20000,10000,-4.9990000000000006
534,2018-08-02 08:39:19,11,29.700,73.200,1002.000,-2.33,0,5.017,0.148,5.673,29.700,29.121,28.666,28.215,27.737,27.349,26.991,26.633,26.166,25.801,25.304,24.717,24.037,23.460,22.825,22.197,21.470,20.753,20.060,19.551,18.986,18.393,17.760,17.181,16.697,15.988,14.941,13.687,12.556,11.501,10.395,9.243,8.031,6.719,5.397,3.958,2.601,1.253,-0.050,-1.441,-2.724,-3.992,-5.363,-6.806,-8.217,-9.635,-10.811,-11.943,-13.082,-14.406,-15.831,-17.236,-18.553,-19.837,-21.204,-22.755,-24.448,-26.001,20000,10000,-4.487
538,2018-08-02 08:43:12,11,30.000,71.300,1001.900,-2.27,0,4.990,0.138,5.723,30.000,29.462,29.029,28.590,28.122,27.741,27.398,27.052,26.605,26.243,25.767,25.216,24.573,24.025,23.414,22.807,22.093,21.403,20.739,20.237,19.683,19.087,18.469,17.900,17.425,16.698,15.644,14.376,13.191,12.084,10.936,9.769,8.522,7.181,5.815,4.356,2.980,1.618,0.300,-1.101,-2.414,-3.707,-5.076,-6.493,-7.909,-9.328,-10.509,-11.633,-12.779,-14.099,-15.535,-16.955,-18.280,-19.584,-20.981,-22.560,-24.270,-25.849,20000,10000,-4.614000000000001
